"","SUBTRANSECTO","CONTEO","ALTITUD","DEG","CHIL","RH_C","HI","DP","BULB","BARO","ALT","SPD","TC","TS","LHC","LONG_COLA","LONG_TOTAL","PESO","TEMP_ASF","TEMP_SUELO","CARROS_TUX","CARROS_OAX","TOTAL_CARROS","AÑO","SEMANA","DIA","DIAYEAR","TRANSECTO","RECORRIDO","VIVO","MUERTO","CAÑADA","ESCURRIMIENTOS","ALTITUD_MEAN","DIST_ELECTRICOS_MEAN","DIST_PENDIENTE_MEAN","DIST_RIOS_MEAN","DIST_AGRICOLA_MEAN","DIST_URBANIZACION_MEAN","NDWI_AGUA_MEAN","NDMI_HUMEDAD_MEAN","NDVI_VEGETACION_MEAN","LST_TEMPERATURA_MEAN"
"SUBTRANSECTO",1,-0.840843730079487,0.867532467532467,-0.642857142857143,-0.637662337662338,0.0207792207792208,-0.722962038779502,-0.662337662337662,-0.714285714285714,-0.842857142857143,0.8,-0.235064935064935,-0.0952544297027103,-0.550649350649351,0.162337662337662,0.252275896005995,0.355006802111529,0.406678429125335,-0.590909090909091,-0.55974025974026,0.0103896103896104,0.141558441558442,-0.253246753246753,0.026789985988841,-0.362894460011749,-0.646046408337713,-0.407301410643553,0.983632282681118,0.145881447044,0.0449466574975495,-0.0449466574975495,-0.121854359168988,-0.080369957966523,0.845454545454545,0.753246753246753,0.145454545454545,-0.44025974025974,0.853473038022006,0.901298701298701,0.407792207792208,-0.535064935064935,-0.416883116883117,-0.807792207792208
"CONTEO",-0.840843730079487,1,-0.873459856149288,0.60013671968435,0.58382865664945,-0.0437056089335342,0.568357477750732,0.611878525069479,0.611226202548083,0.813446184180853,-0.821926376959002,0.26810455629377,0.0312322764879897,0.46706292531956,-0.174822435734137,-0.366429125901108,-0.430439917948004,-0.473564469718841,0.532295177459163,0.550560208058252,0.140901664621543,0.0404439963265541,0.213309464496503,-0.148019273935192,0.606048396762136,0.697416699941819,0.559083739288969,-0.859146086752143,-0.00817796317943033,-0.293490366640725,0.293490366640725,0.375979861520685,0.13456297630472,-0.8715028885851,-0.729296578920765,-0.231574495095592,0.574043818828509,-0.816120259468787,-0.870198243542308,-0.409006220915313,0.560997368400588,0.454668797413035,0.762565027511963
"ALTITUD",0.867532467532467,-0.873459856149288,1,-0.763636363636364,-0.753246753246753,-0.187012987012987,-0.738551516704667,-0.811688311688312,-0.797402597402597,-0.906493506493506,0.88051948051948,-0.415584415584416,-0.267241594443715,-0.732467532467532,0.309090909090909,0.392718147390776,0.472042011598847,0.590402928456877,-0.777922077922078,-0.785714285714286,-0.119480519480519,0.074025974025974,-0.087012987012987,0,-0.488689091340685,-0.661676563378142,-0.471817954089492,0.848960480220079,-0.0989909819227142,0.337099931231621,-0.337099931231621,-0.261116483933547,-0.133949929944205,0.928571428571429,0.88051948051948,0.0597402597402597,-0.535064935064935,0.944964279187119,0.961038961038961,0.394805194805195,-0.527272727272727,-0.392207792207792,-0.772727272727273
"DEG",-0.642857142857143,0.60013671968435,-0.763636363636364,1,0.996103896103896,0.00649350649350649,0.95680420765697,0.946753246753247,0.955844155844156,0.662337662337662,-0.577922077922078,0.496103896103896,0.43922875918472,0.831168831168831,-0.154545454545455,-0.143043033817832,-0.197659464911914,-0.41583196289986,0.797402597402597,0.892207792207792,-0.136363636363636,-0.379220779220779,-0.215584415584416,0.187529901921887,0.408997204477851,0.778902726181356,0.355818512338208,-0.641011373478769,0.446110675112232,-0.42699324622672,0.42699324622672,0.0522232967867093,-0.187529901921887,-0.696103896103896,-0.807792207792208,0.0363636363636364,0.438961038961039,-0.746621953449611,-0.712987012987013,-0.397402597402597,0.38961038961039,0.338961038961039,0.694805194805195
"CHIL",-0.637662337662338,0.58382865664945,-0.753246753246753,0.996103896103896,1,0.0207792207792208,0.966547631360197,0.946753246753247,0.954545454545455,0.676623376623377,-0.581818181818182,0.458441558441558,0.455104497468505,0.824675324675325,-0.157142857142857,-0.131339512869101,-0.188556726396233,-0.413870491376748,0.797402597402597,0.883116883116883,-0.122077922077922,-0.38961038961039,-0.220779220779221,0.187529901921887,0.38528722160957,0.76848262282107,0.337571409141377,-0.641011373478769,0.43438805883191,-0.42699324622672,0.42699324622672,0.0522232967867093,-0.187529901921887,-0.68961038961039,-0.81038961038961,0.0454545454545455,0.406493506493507,-0.751296688399653,-0.707792207792208,-0.412987012987013,0.396103896103896,0.35974025974026,0.718181818181818
"RH_C",0.0207792207792208,-0.0437056089335342,-0.187012987012987,0.00649350649350649,0.0207792207792208,1,0.0220850937273163,0.237662337662338,0.11038961038961,0.255844155844156,-0.302597402597403,-0.0363636363636364,-0.00793786914189253,0.168831168831169,-0.0662337662337662,0.0728219081254419,0.0221066506809377,-0.338026925816396,0.225974025974026,0.237662337662338,0.285714285714286,0.279220779220779,-0.0272727272727273,-0.080369957966523,0.125794631328937,0.0579618249415892,0.147280190088709,0.0435702890315126,0.099642238382732,-0.224733287487747,0.224733287487747,-0.0522232967867093,-0.107159943955364,-0.235064935064935,-0.297402597402597,0.237662337662338,-0.0233766233766234,-0.280484097002537,-0.176623376623377,-0.0038961038961039,-0.0922077922077922,-0.0467532467532468,0.0675324675324675
"HI",-0.722962038779502,0.568357477750732,-0.738551516704667,0.95680420765697,0.966547631360197,0.0220850937273163,1,0.933419990769223,0.963949385039337,0.693731767669819,-0.597596653797971,0.40077949499277,0.411579868715801,0.80285811314597,-0.0714517738236705,-0.0819512585133982,-0.15414641482282,-0.359392905607116,0.790516443121882,0.830139699515008,-0.102630729673999,-0.40077949499277,-0.0954855522916324,0.24118819447136,0.324800515005903,0.75765729557604,0.282921972250903,-0.713199962002292,0.313030378782706,-0.314728803753199,0.314728803753199,0.0348268404430835,-0.187590817922169,-0.685287467127022,-0.776226088357148,0.0701526506632401,0.370250100722656,-0.756885024425442,-0.716466422977351,-0.431308889262884,0.405975987634491,0.371549223883087,0.745696694087034
"DP",-0.662337662337662,0.611878525069479,-0.811688311688312,0.946753246753247,0.946753246753247,0.237662337662338,0.933419990769223,1,0.975324675324675,0.763636363636364,-0.693506493506494,0.450649350649351,0.422030042710619,0.866233766233766,-0.115584415584416,-0.144343425034358,-0.22626807167548,-0.511944067532375,0.850649350649351,0.925974025974026,-0.00649350649350649,-0.319480519480519,-0.166233766233766,0.214319887910728,0.37870111525727,0.745037390260428,0.323886081743754,-0.639691061689935,0.382938798490499,-0.494413232473044,0.494413232473044,0.104446593573419,-0.187529901921887,-0.777922077922078,-0.849350649350649,0.125974025974026,0.435064935064935,-0.824088989764597,-0.762337662337662,-0.448051948051948,0.457142857142857,0.388311688311688,0.723376623376623
"BULB",-0.714285714285714,0.611226202548083,-0.797402597402597,0.955844155844156,0.954545454545455,0.11038961038961,0.963949385039337,0.975324675324675,1,0.736363636363636,-0.658441558441558,0.51038961038961,0.381017718810841,0.848051948051948,-0.0545454545454545,-0.0546164310940814,-0.145643816250884,-0.370718117868272,0.822077922077922,0.896103896103896,-0.0935064935064935,-0.415584415584416,-0.146753246753247,0.26789985988841,0.351039468577608,0.720289644779749,0.31085243660316,-0.689862909665617,0.357539796549803,-0.382046588729171,0.382046588729171,0.104446593573419,-0.160739915933046,-0.766233766233766,-0.818181818181818,0.0831168831168831,0.418181818181818,-0.800047495735808,-0.746753246753247,-0.485714285714286,0.493506493506494,0.425974025974026,0.737662337662338
"BARO",-0.842857142857143,0.813446184180853,-0.906493506493506,0.662337662337662,0.676623376623377,0.255844155844156,0.693731767669819,0.763636363636364,0.736363636363636,1,-0.938961038961039,0.211688311688312,0.185216946644159,0.627272727272727,-0.222077922077922,-0.306892327100077,-0.421326754154342,-0.536789373491801,0.697402597402597,0.692207792207792,0.228571428571429,-0.0727272727272727,0.120779220779221,-0.026789985988841,0.312181441099036,0.597853430296392,0.359728605880386,-0.848960480220079,0.00390753876010714,-0.292153273734072,0.292153273734072,0.295932015124686,0.107159943955364,-0.928571428571429,-0.846753246753247,0,0.371428571428571,-0.953645929808626,-0.922077922077922,-0.557142857142857,0.641558441558442,0.585714285714286,0.881818181818182
"ALT",0.8,-0.821926376959002,0.88051948051948,-0.577922077922078,-0.581818181818182,-0.302597402597403,-0.597596653797971,-0.693506493506494,-0.658441558441558,-0.938961038961039,1,-0.203896103896104,-0.100546342463972,-0.525974025974026,0.207792207792208,0.370611496709838,0.446034187268332,0.534174078127651,-0.614285714285714,-0.622077922077922,-0.336363636363636,-0.116883116883117,-0.283116883116883,-0.026789985988841,-0.422828027817682,-0.552265478095142,-0.45552589766375,0.801429255822066,0.0267015148607321,0.292153273734072,-0.292153273734072,-0.348155311911396,-0.080369957966523,0.898701298701299,0.796103896103896,-0.0350649350649351,-0.393506493506494,0.88419272483657,0.883116883116883,0.424675324675325,-0.48961038961039,-0.441558441558442,-0.737662337662338
"SPD",-0.235064935064935,0.26810455629377,-0.415584415584416,0.496103896103896,0.458441558441558,-0.0363636363636364,0.40077949499277,0.450649350649351,0.51038961038961,0.211688311688312,-0.203896103896104,1,0.0820246477995561,0.571428571428571,0.0233766233766234,0.107932470971637,0.105331688538586,-0.0451138450315886,0.488311688311688,0.614285714285714,-0.201298701298701,-0.327272727272727,-0.177922077922078,0.294689845877251,0.312840051734266,0.243569916046678,0.198763088394054,-0.227753783573816,0.524912706774392,-0.269679944985297,0.269679944985297,0.382970843102535,0.160739915933046,-0.376623376623377,-0.284415584415584,0.194805194805195,0.416883116883117,-0.359954591153256,-0.32987012987013,-0.0779220779220779,0.0493506493506493,0.0584415584415584,0.120779220779221
"TC",-0.0952544297027103,0.0312322764879897,-0.267241594443715,0.43922875918472,0.455104497468505,-0.00793786914189253,0.411579868715801,0.422030042710619,0.381017718810841,0.185216946644159,-0.100546342463972,0.0820246477995561,1,0.646936335064241,-0.203738641308575,-0.282161035700157,-0.267589339020806,-0.273078821107681,0.625768684019194,0.530514254316484,0.0449812584707243,-0.32942156938854,-0.277825419966238,-0.0545815534604222,-0.0449517860510034,0.221585797533475,-0.21841135077196,-0.0591796765913486,0.125388370460559,-0.29761455522216,0.29761455522216,-0.141865380426382,0.0272907767302111,-0.0582110403738785,-0.304284983772547,0.23416713968583,0.349266242243271,-0.291169667858079,-0.275179463585608,-0.0820246477995561,0.145527600934696,0.0436582802804089,0.130974840841227
"TS",-0.550649350649351,0.46706292531956,-0.732467532467532,0.831168831168831,0.824675324675325,0.168831168831169,0.80285811314597,0.866233766233766,0.848051948051948,0.627272727272727,-0.525974025974026,0.571428571428571,0.646936335064241,1,-0.194805194805195,-0.219766115592851,-0.302991153450499,-0.462907279454562,0.961038961038961,0.936363636363636,-0.038961038961039,-0.464935064935065,-0.258441558441558,0.214319887910728,0.216024288355451,0.579618249415892,0.0280223370522765,-0.511620818173065,0.402476492291035,-0.337099931231621,0.337099931231621,0.191485421551268,0.133949929944205,-0.61038961038961,-0.74025974025974,0.258441558441558,0.581818181818182,-0.75463578479254,-0.71038961038961,-0.250649350649351,0.348051948051948,0.198701298701299,0.51038961038961
"LHC",0.162337662337662,-0.174822435734137,0.309090909090909,-0.154545454545455,-0.157142857142857,-0.0662337662337662,-0.0714517738236705,-0.115584415584416,-0.0545454545454545,-0.222077922077922,0.207792207792208,0.0233766233766234,-0.203738641308575,-0.194805194805195,1,0.55656744067302,0.586476438653112,0.48186817084465,-0.236363636363636,-0.231168831168831,0.306493506493506,0.0584415584415584,0.381818181818182,0,-0.0428096912899522,-0.160209089164393,-0.137504956233264,0.199367080113891,-0.196679450925393,0.0224733287487747,-0.0224733287487747,0.0522232967867093,-0.26789985988841,0.161038961038961,0.457142857142857,0.127272727272727,-0.0688311688311688,0.231065470387804,0.25974025974026,-0.28961038961039,0.0402597402597403,0.245454545454545,-0.11038961038961
"LONG_COLA",0.252275896005995,-0.366429125901108,0.392718147390776,-0.143043033817832,-0.131339512869101,0.0728219081254419,-0.0819512585133982,-0.144343425034358,-0.0546164310940814,-0.306892327100077,0.370611496709838,0.107932470971637,-0.282161035700157,-0.219766115592851,0.55656744067302,1,0.950520833333333,0.585933785464782,-0.340702498729746,-0.193758291262337,-0.289987241285242,-0.201560638561491,-0.178153596664028,0.0268248461024673,-0.178715731409084,-0.25040789715491,-0.174878106977341,0.240609428517925,0.0971634809272959,0,0,-0.296317092730818,-0.348722999332074,0.187256335179708,0.274382546686933,-0.205461812211068,-0.449935360917909,0.269481372627965,0.33940210751322,-0.152145772333513,-0.0689207344758647,0.10403129732206,-0.0754226905584934
"LONG_TOTAL",0.355006802111529,-0.430439917948004,0.472042011598847,-0.197659464911914,-0.188556726396233,0.0221066506809377,-0.15414641482282,-0.22626807167548,-0.145643816250884,-0.421326754154342,0.446034187268332,0.105331688538586,-0.267589339020806,-0.302991153450499,0.586476438653112,0.950520833333333,1,0.600991301739296,-0.409623233205611,-0.265279808171253,-0.267880590604304,-0.132639904085626,-0.145643816250884,0,-0.146401816873862,-0.299315689567979,-0.144209185231314,0.349676889247205,0.0332572988408865,0,0,-0.278886675511359,-0.456022383741943,0.265279808171253,0.400520494689931,-0.128738730436049,-0.499350227145887,0.371790677868856,0.436931448752651,-0.110533253404689,-0.182054770313605,0.0377113452792467,-0.180754379097079
"PESO",0.406678429125335,-0.473564469718841,0.590402928456877,-0.41583196289986,-0.413870491376748,-0.338026925816396,-0.359392905607116,-0.511944067532375,-0.370718117868272,-0.536789373491801,0.534174078127651,-0.0451138450315886,-0.273078821107681,-0.462907279454562,0.48186817084465,0.585933785464782,0.600991301739296,1,-0.447869331110699,-0.483829642367762,-0.0627670887396016,-0.0758435655603519,0.10265034304289,0.202309009293529,-0.4270670649116,-0.498364513021639,-0.378939047312483,0.407463257980452,-0.0134427269959784,0.497819104421562,-0.497819104421562,-0.0525830482049619,0.0809236037174115,0.50802112448615,0.596941166867252,-0.117034467545715,-0.466176398659749,0.582987875904147,0.591056752297915,-0.145802716551366,-0.100688871519778,0.101342695360815,-0.329527215882908
"TEMP_ASF",-0.590909090909091,0.532295177459163,-0.777922077922078,0.797402597402597,0.797402597402597,0.225974025974026,0.790516443121882,0.850649350649351,0.822077922077922,0.697402597402597,-0.614285714285714,0.488311688311688,0.625768684019194,0.961038961038961,-0.236363636363636,-0.340702498729746,-0.409623233205611,-0.447869331110699,1,0.923376623376623,0.0961038961038961,-0.341558441558442,-0.154545454545455,0.214319887910728,0.233148164871432,0.610227303036731,0.0619098144178201,-0.553870795415744,0.358191053009821,-0.269679944985297,0.269679944985297,0.295932015124686,0.214319887910728,-0.653246753246753,-0.75974025974026,0.254545454545455,0.563636363636364,-0.792701483671456,-0.750649350649351,-0.314285714285714,0.398701298701299,0.264935064935065,0.576623376623377
"TEMP_SUELO",-0.55974025974026,0.550560208058252,-0.785714285714286,0.892207792207792,0.883116883116883,0.237662337662338,0.830139699515008,0.925974025974026,0.896103896103896,0.692207792207792,-0.622077922077922,0.614285714285714,0.530514254316484,0.936363636363636,-0.231168831168831,-0.193758291262337,-0.265279808171253,-0.483829642367762,0.923376623376623,1,-0.0636363636363636,-0.332467532467532,-0.305194805194805,0.187529901921887,0.347087804766228,0.68056300071866,0.237212341558805,-0.54198798931624,0.522307680934321,-0.471939903724269,0.471939903724269,0.191485421551268,0,-0.723376623376623,-0.820779220779221,0.127272727272727,0.512987012987013,-0.796708399342921,-0.749350649350649,-0.325974025974026,0.403896103896104,0.284415584415584,0.611688311688312
"CARROS_TUX",0.0103896103896104,0.140901664621543,-0.119480519480519,-0.136363636363636,-0.122077922077922,0.285714285714286,-0.102630729673999,-0.00649350649350649,-0.0935064935064935,0.228571428571429,-0.336363636363636,-0.201298701298701,0.0449812584707243,-0.038961038961039,0.306493506493506,-0.289987241285242,-0.267880590604304,-0.0627670887396016,0.0961038961038961,-0.0636363636363636,1,0.55974025974026,0.715584415584416,-0.133949929944205,0.156090720549518,-0.0592643378616249,0.0664715902170279,0.0224453004101732,-0.218822170566,-0.179786629990198,0.179786629990198,0.365563077506965,0.241109873899569,-0.0662337662337662,0.124675324675325,0.303896103896104,0.0688311688311688,-0.102176349622353,-0.11038961038961,-0.216883116883117,0.00649350649350649,0.220779220779221,0.0012987012987013
